	SENTENCE	CONDITION	MODAL VERB	SYSTEM_NAME	ACTOR	OBJECT + COMPLEMENT	VERB
74	Wenn ein Nachweis-Item in einem Sicherungsprojekts geändert wird, muss die OPENCOSS-Plattform die von der Änderung betroffenen Nachweis-Items des Sicherungsprojekts anzeigen.	Wenn ein Nachweis-Item in einem Sicherungsprojekts geändert wird	muss	die OPENCOSS-Plattform		die von der Änderung betroffenen Nachweis-Items des Sicherungsprojekts	anzeigen
75	Bei Änderung eines Nachweis-Items in einem Sicherungsprojekt, muss die OPENCOSS-Plattform, die Nachweisrückverfolgbarkeitslinks des von der Änderung betroffenen Sicherungsprojekts anzeigen.	Bei Änderung eines Nachweis-Items in einem Sicherungsprojekt	muss	die OPENCOSS-Plattform		die Nachweisrückverfolgbarkeitslinks des von der Änderung betroffenen Sicherungsprojekts	anzeigen
76	Wenn bei Änderung eines Nachweis-Items eines Sicherungsprojekts andere Nachweis-Items betroffen sind, muss die OPENCOSS-Plattform vom Nutzer eine Änderungsbestätigung verlangen.	Wenn bei Änderung eines Nachweis-Items eines Sicherungsprojekts andere Nachweis-Items betroffen sind	muss	die OPENCOSS-Plattform		vom Nutzer eine Änderungsbestätigung	verlangen
77	Wenn ein Nutzer eine mögliche Änderung in einem Nachweis-Item eines Sicherungsprojekts angegeben hat, muss die OPENCOSS-Plattform die Nachweis-Items des Sicherungsprojekts anzeigen, die von der Änderung betroffen wären.	Wenn ein Nutzer eine mögliche Änderung in einem Nachweis-Item eines Sicherungsprojekts angegeben hat	muss	die OPENCOSS-Plattform		die Nachweis-Items des Sicherungsprojekts anzeigen, die von der Änderung betroffen	wären
78	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Aktionen, die im Nachweisbeleg eines Sicherungsprojekts infolge einer Änderung eines Nachweis-Items erforderlich sind, zu spezifizieren.		muss	Die OPENCOSS-Plattform	Nutzer	Aktionen, die im Nachweisbeleg eines Sicherungsprojekts infolge einer Änderung eines Nachweis-Items erforderlich sind	spezifizieren
79	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, infolge von Änderungen an Nachweis-Items, diejenigen Nachweis-Items, die mit Aktionen verknüpft sind, welche im Nachweisbeleg eines Sicherungsprojekts benötigt werden, anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	infolge von Änderungen an Nachweis-Items, diejenigen Nachweis-Items, die mit Aktionen verknüpft sind, welche im Nachweisbeleg eines Sicherungsprojekts benötigt werden	anzugeben
80	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, infolge der Änderung eines Nachweis-Items, diejenigen Nachweisrückverfolgbarkeitslinks, die mit Aktionen verknüpft sind, welche im Nachweisbeleg eines Sicherungsprojekts benötigt werden, anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	infolge der Änderung eines Nachweis-Items, diejenigen Nachweisrückverfolgbarkeitslinks, die mit Aktionen verknüpft sind, welche im Nachweisbeleg eines Sicherungsprojekts benötigt werden	anzugeben
81	Die OPENCOSS-Plattform muss Aktionen, die nach der Genehmigung der Änderung eines Nachweis-Items eines Sicherungsprojekts durchzuführen sind, vorschlagen.		muss	Die OPENCOSS-Plattform		Aktionen, die nach der Genehmigung der Änderung eines Nachweis-Items eines Sicherungsprojekts durchzuführen sind	vorschlagen
82	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Informationen über Aktionen, die in einem Sicherungsprojekt aufgrund von Änderungen an Nachweis-Items entstehenden und durchzuführenden sind, per E-Mail zu verschicken.		muss	Die OPENCOSS-Plattform	Nutzer	Informationen über Aktionen, die in einem Sicherungsprojekt aufgrund von Änderungen an Nachweis-Items entstehenden und durchzuführenden sind, per E-Mail	verschicken
83	"Die OPENCOSS-Plattform muss nach Änderung eines Nachweis-Items, den Status der im Sicherungsprojekt benötigten Aktionen, falls diese ""noch ausstehend"" oder ""adressiert"" sind, aufzeichnen."		muss	Die OPENCOSS-Plattform		"nach Änderung eines Nachweis-Items, den Status der im Sicherungsprojekt benötigten Aktionen, falls diese ""noch ausstehend"" oder ""adressiert"" sind"	aufzeichnen
84	Die OPENCOSS-Plattform muss im Sicherungsprojekt erforderliche Aktionen infolge von Änderungen an Nachweis-Items aufzeigen.		muss	Die OPENCOSS-Plattform		im Sicherungsprojekt erforderliche Aktionen infolge von Änderungen an Nachweis-Items	aufzeigen
85	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, die Information, ob eine im Sicherungsprojekt aufgrund der Änderung eines Nachweis-Items erforderliche Aktion adressiert wurde, anzugeben.		muss	Die OPENCOSS-Plattform	Nutzer	die Information, ob eine im Sicherungsprojekt aufgrund der Änderung eines Nachweis-Items erforderliche Aktion adressiert wurde	anzugeben
86	"Wenn der Status einer Aktion, die in einem Sicherungsprojekt aufgrund von Änderungen von Nachweis-Items erforderlich ist, ""noch ausstehend"" ist, muss die OPENCOSS-Plattform eine solche Aktion rot einfärben."	Wenn der Status einer Aktion	die	die OPENCOSS-Plattform		eine solche Aktion rot	einfärben
87	Wenn ein Nachweis-Item eines Sicherungsprojekts durch Änderungen anderer Nachweis-Items beeinträchtigt wurde, muss die OPENCOSS-Plattform ein solches Nachweis-Item rot einfärben.	Wenn ein Nachweis-Item eines Sicherungsprojekts durch Änderungen anderer Nachweis-Items beeinträchtigt wurde	muss	die OPENCOSS-Plattform		ein solches Nachweis-Item rot	einfärben
88	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts durch Änderungen von Nachweis-Items beeinträchtigt wurde, muss die OPENCOSS-Plattform einen solchen Link rot einfärben.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts durch Änderungen von Nachweis-Items beeinträchtigt wurde	muss	die OPENCOSS-Plattform		einen solchen Link rot	einfärben
89	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweis-Items für ein Sicherungsprojekt aus den Artefakten externer Werkzeuge zu importieren.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweis-Items für ein Sicherungsprojekt aus den Artefakten externer Werkzeuge	importieren
90	Die OPENCOSS-Plattform muss fähig sein, ein Artefakt in einem externen Werkzeug automatisch mit einem Nachweis-Item eines Sicherungsprojekts, das aus dem externen Werkzeug importiert wurde, zu verknüpfen.		muss	Die OPENCOSS-Plattform		ein Artefakt in einem externen Werkzeug automatisch mit einem Nachweis-Item eines Sicherungsprojekts, das aus dem externen Werkzeug importiert wurde	verknüpfen
91	Die OPENCOSS-Plattform muss fähig sein, das Werkzeug, welches das Artefakt speichert, das mit einem aus einem externen Werkzeug importierten Nachweis-Item eines Sicherungsprojekts verbunden ist, automatisch anzuzeigen.		muss	Die OPENCOSS-Plattform		das Werkzeug, welches das Artefakt speichert, das mit einem aus einem externen Werkzeug importierten Nachweis-Item eines Sicherungsprojekts verbunden ist, automatisch	anzuzeigen
92	Die OPENCOSS-Plattform muss dem Nutzer die Möglichkeit bieten, Nachweisrückverfolgbarkeitslinks für ein Sicherungsprojekt aus einem externen Werkzeug zu importieren.		muss	Die OPENCOSS-Plattform	Nutzer	Nachweisrückverfolgbarkeitslinks für ein Sicherungsprojekt aus einem externen Werkzeug	importieren
93	Die OPENCOSS-Plattform muss fähig sein, ein Artefakt automatisch mit einem Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts, das aus einem externen Werkzeug importiert wurde, zu verknüpfen.		muss	Die OPENCOSS-Plattform		ein Artefakt automatisch mit einem Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts, das aus einem externen Werkzeug importiert wurde	verknüpfen
94	Die OPENCOSS-Plattform muss fähg sein, das Werkzeug, welches das Artefakt speichert, das über einen externen Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts verknüpft ist, automatisch anzeigen.		muss	Die OPENCOSS-Plattform		fähg sein, das Werkzeug, welches das Artefakt speichert, das über einen externen Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts verknüpft ist, automatisch	anzeigen
95	Die OPENCOSS-Plattform muss fähig sein, Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts in externe Werkzeuge zu exportieren.		muss	Die OPENCOSS-Plattform		Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts in externe Werkzeuge	exportieren
96	Das OPENCOSS muss fähig sein, Nachweise für ein Sicherungsprojekt aus SAEM-Modellen zu importieren.		muss	Das OPENCOSS		Nachweise für ein Sicherungsprojekt aus SAEM-Modellen	importieren
97	Die OPENCOSS-Plattform muss in der Lage sein, den Nachweis eines Sicherungsprojekts in Form eines SAEM-Modells zu exportieren.		muss	Die OPENCOSS-Plattform		in der Lage sein, den Nachweis eines Sicherungsprojekts in Form eines SAEM-Modells	exportieren
98	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem Artefakt eines externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung erkennen und das Nachweis-Item entsprechend aktualisieren.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem Artefakt eines externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung erkennen und das Nachweis-Item entsprechend	aktualisieren
99	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung erkennen und die Informationen im externen Werkzeug entsprechend aktualisieren.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung erkennen und die Informationen im externen Werkzeug entsprechend	aktualisieren
100	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung anzeigen.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung	anzeigen
101	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung anzeigen.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung	anzeigen
102	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung durch eine rote Einfärbung des Nachweis-Item anzeigen.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung durch eine rote Einfärbung des Nachweis-Item	anzeigen
103	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung durch eine rote Einfärbung des Nachweis-Item anzeigen.	Wenn ein Nachweis-Item eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung durch eine rote Einfärbung des Nachweis-Item	anzeigen
104	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung erkennen und den Nachweisrückverfolgbarkeitslink entsprechend aktualisieren.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung erkennen und den Nachweisrückverfolgbarkeitslink entsprechend	aktualisieren
105	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung erkennen und die Informationen im externen Werkzeug entsprechend aktualisieren.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung erkennen und die Informationen im externen Werkzeug entsprechend	aktualisieren
106	Wenn ein Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung anzeigen.	Wenn ein Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung	anzeigen
107	Wenn ein Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung anzeigen.	Wenn ein Nachweisrückverfolgbarkeitslinks eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung	anzeigen
108	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden, muss die OPENCOSS-Plattform eine solche Änderung durch eine rote Einfärbung des Nachweisrückverfolgbarkeitslink anzeigen.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen in der OPENCOSS-Plattform geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung durch eine rote Einfärbung des Nachweisrückverfolgbarkeitslink	anzeigen
109	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden, muss die OPENCOSS-Plattform eine solche Änderung durch rote Einfärbung des Nachweisrückverfolgbarkeitslinks anzeigen.	Wenn ein Nachweisrückverfolgbarkeitslink eines Sicherungsprojekts Informationen enthält, die aus einem externen Werkzeug importiert wurden, und die Informationen im externen Werkzeug geändert werden	muss	die OPENCOSS-Plattform		eine solche Änderung durch rote Einfärbung des Nachweisrückverfolgbarkeitslinks	anzeigen
